Code,Year,ValPol,IDO
GRL,2015,11.76203951,2015GRL
GRL,2016,11.57250485,2016GRL
GRL,2017,11.60217946,2017GRL
GTM,2010,29.98259025,2010GTM
GTM,2011,31.72733122,2011GTM
GTM,2012,29.88625889,2012GTM
GTM,2013,30.05682402,2013GTM
GTM,2014,26.52785542,2014GTM
GTM,2015,25.0727261,2015GTM
GTM,2016,23.79782877,2016GTM
GTM,2017,24.07064893,2017GTM
GUM,2010,13.88834049,2010GUM
GUM,2011,14.1035329,2011GUM
GUM,2012,13.24230178,2012GUM
GUM,2013,12.78879461,2013GUM
GUM,2014,12.02255289,2014GUM
GUM,2015,12.53178352,2015GUM
GUM,2016,11.65176784,2016GUM
GUM,2017,11.63440681,2017GUM
GUY,2010,27.31186474,2010GUY
GUY,2011,27.92942466,2011GUY
GUY,2012,26.90129942,2012GUY
GUY,2013,24.85550257,2013GUY
GUY,2014,23.64826569,2014GUY
GUY,2015,23.88788174,2015GUY
GUY,2016,22.37149881,2016GUY
GUY,2017,22.37557463,2017GUY
HIC,2010,16.66933845,2010HIC
HIC,2011,16.95879054,2011HIC
HIC,2012,16.0809175,2012HIC
HIC,2013,15.87959148,2013HIC
HIC,2014,14.98694811,2014HIC
HIC,2015,15.81445441,2015HIC
HIC,2016,14.5179518,2016HIC
HIC,2017,14.68293085,2017HIC
HND,2010,26.88295242,2010HND
HND,2011,28.90074716,2011HND
HND,2012,27.44714935,2012HND
HND,2013,27.68413611,2013HND
HND,2014,23.16154008,2014HND
HND,2015,22.40619622,2015HND
HND,2016,21.08695992,2016HND
HND,2017,20.62885065,2017HND
HPC,2010,37.19402653,2010HPC
HPC,2011,37.92088795,2011HPC
HPC,2012,38.47469538,2012HPC
HPC,2013,37.17849642,2013HPC
HPC,2014,36.38687945,2014HPC
HPC,2015,41.37359756,2015HPC
HPC,2016,40.46722767,2016HPC
HPC,2017,40.685039,2017HPC
HRV,2010,21.33471864,2010HRV
HRV,2011,21.96600369,2011HRV
HRV,2012,20.2024228,2012HRV
HRV,2013,19.58696201,2013HRV
