Code,Year,Consumption of Ozone-Depleting Substances ,IDCODS
,1995,1647.7,
,1996,1432.9,
,1997,1000.2,
,1998,1385.7,
,1999,920.5,
,2000,1003.3,
,2001,1663.5,
,2002,1425.3,
,2003,913,
,2004,578.7,
,2005,499,
,2006,395.6,
,2007,164.9,
,2008,138.7,
,2009,251.22,
,2010,210.1,
,2011,214.05,
,2012,184.6,
,2013,176.65,
CAF,1989,26.6,1989CAF
CAF,1991,42.8,1991CAF
CAF,1992,44.5,1992CAF
CAF,1993,32.2,1993CAF
CAF,1994,32.2,1994CAF
CAF,1995,28.2,1995CAF
CAF,1996,6.5,1996CAF
CAF,1997,0,1997CAF
CAF,1998,7.3,1998CAF
CAF,1999,1.5,1999CAF
CAF,2000,4.5,2000CAF
CAF,2001,4.2,2001CAF
CAF,2002,4.6,2002CAF
CAF,2003,4.3,2003CAF
CAF,2004,4.1,2004CAF
CAF,2005,2.9,2005CAF
CAF,2006,2.3,2006CAF
CAF,2007,1.6,2007CAF
CAF,2008,6.7,2008CAF
CAF,2009,11.9,2009CAF
CAF,2010,12.1,2010CAF
CAF,2011,12.02,2011CAF
CAF,2012,11.83,2012CAF
,1989,5898.8,
,1991,2615,
,1993,4125.1,
,1996,2166.2,
,1997,1761.8,
,1998,2262.2,
,1999,1022.8,
,2000,748.1,
,2001,522.8,
,2002,221.4,
,2003,183.1,
,2004,146.1,
,2005,90.7,
,2006,118.5,
,2007,138.9,
,2008,157.5,
,2009,155.4,
,2010,127.6,
,2011,112.58,
,2012,37.47,
,2013,117.33,
,1989,50352.1,
,1991,20829.9,
,1992,18247.9,
,1993,17554.5,
,1994,18364,
,1995,12075.4,
,1996,9574.7,
,1997,8170.5,
,1998,9457.6,
